Wing ,Position
External Relations,Director of Publicity
External Relations,Deputy Director of Publicity (Content & Graphics)
External Relations,Deputy Director of Marketing (Sponsorships)
Internal Relations,Director of Welfare
Student Development,Director of Community Engagement
Student Development,Director of Rag and Flag
Student Life,Director of Freshmen Orientation Projects
Student Life,Deputy Director of Freshmen Orientation Projects
Student Life,Deputy Director of Freshmen Orientation Projects
